,Week,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
13,5/14/17,20,"$303,665","$27,505","$721,304",42.10%,$54.12,$273.00,5611,6200,8,90.5%,6.8%,A Doll S Housepart 2
14,5/21/17,21,"$325,010","$21,345","$633,761",51.28%,$63.64,$273.00,5107,5425,7,94.1%,3.6%,A Doll S Housepart 2
15,5/28/17,22,"$419,689","$94,679","$721,304",58.18%,$68.99,$297.00,6083,6200,8,98.1%,4.0%,A Doll S Housepart 2
16,6/04/17,23,"$452,694","$33,005","$721,304",62.76%,$76.82,$297.00,5893,6200,8,95.0%,-3.1%,A Doll S Housepart 2
17,6/11/17,24,"$533,186","$80,492","$721,304",73.92%,$86.98,$297.00,6130,6200,8,98.9%,3.9%,A Doll S Housepart 2
18,6/18/17,25,"$530,698","$-2,488","$721,304",73.57%,$90.92,$297.00,5837,6200,8,94.1%,-4.8%,A Doll S Housepart 2
19,6/25/17,26,"$504,782","$-25,916","$721,304",69.98%,$88.54,$297.00,5701,6200,8,92.0%,-2.1%,A Doll S Housepart 2
20,7/02/17,27,"$476,124","$-28,658","$721,304",66.01%,$85.80,$297.00,5549,6200,8,89.5%,-2.5%,A Doll S Housepart 2
21,7/09/17,28,"$450,676","$-25,448","$721,304",62.48%,$81.47,$297.00,5532,6200,8,89.2%,-0.3%,A Doll S Housepart 2
22,7/16/17,29,"$557,757","$107,081","$721,304",77.33%,$95.69,$297.00,5829,6200,8,94.0%,4.8%,A Doll S Housepart 2
23,7/23/17,30,"$646,910","$89,153","$721,304",89.69%,$105.19,$297.00,6150,6200,8,99.2%,5.2%,A Doll S Housepart 2
24,7/30/17,31,"$284,682","$-362,228","$721,304",39.47%,$55.14,$297.00,5163,6200,8,83.3%,-15.9%,A Doll S Housepart 2
25,8/06/17,32,"$232,352","$-52,330","$702,872",33.06%,$53.82,$273.00,4317,6200,8,69.6%,-13.7%,A Doll S Housepart 2
26,8/13/17,33,"$233,522","$1,170","$702,872",33.22%,$48.94,$273.00,4772,6200,8,77.0%,7.4%,A Doll S Housepart 2
27,8/20/17,34,"$192,023","$-41,499","$702,872",27.32%,$53.15,$273.00,3613,6200,8,58.3%,-18.7%,A Doll S Housepart 2
28,8/27/17,35,"$198,211","$6,188","$702,872",28.20%,$51.93,$273.00,3817,6200,8,61.6%,3.3%,A Doll S Housepart 2
29,9/03/17,36,"$253,624","$55,413","$702,872",36.08%,$60.75,$273.00,4175,6200,8,67.3%,5.7%,A Doll S Housepart 2
30,9/10/17,37,"$258,968","$5,344","$707,392",36.61%,$71.62,$273.00,3616,6200,8,58.3%,-9.0%,A Doll S Housepart 2
31,9/17/17,38,"$303,106","$44,138","$707,392",42.85%,$75.14,$273.00,4034,6200,8,65.1%,6.8%,A Doll S Housepart 2
32,9/24/17,39,"$332,574","$29,468","$702,872",47.32%,$71.94,$273.00,4623,6200,8,74.6%,9.5%,A Doll S Housepart 2
7,1/06/91,1,"$100,988","$-48,967",$0,,$0.00,$0.00,4655,0,8,0.0%,0.0%,A Few Good Men
8,1/13/91,2,"$90,548","$-10,440",$0,,$0.00,$0.00,4468,0,8,0.0%,0.0%,A Few Good Men
9,1/20/91,3,"$99,356","$8,808",$0,,$0.00,$0.00,4700,0,8,0.0%,0.0%,A Few Good Men
10,1/27/91,4,"$114,792","$15,436",$0,,$0.00,$0.00,4840,0,8,0.0%,0.0%,A Few Good Men
7,1/02/11,1,"$236,459","$92,609","$880,750",26.85%,$53.02,$115.00,4460,8344,8,53.5%,9.9%,A Free Man Of Color
8,1/09/11,2,"$286,415","$49,956","$880,750",32.52%,$52.22,$115.00,5485,8344,8,65.7%,12.2%,A Free Man Of Color
7,1/04/98,1,"$428,654","$17,249","$623,630",68.74%,$46.03,$70.00,9313,12936,8,72.0%,3.4%,A Funny Thing Happened On The Way To The Forum
7,1/03/16,1,"$764,181","$225,599","$1,180,359",64.74%,$95.88,$327.00,7970,8163,9,97.6%,11.8%,A Gentleman S Guide To Love And Murder
8,1/10/16,2,"$584,067","$-180,114","$958,928",60.91%,$88.20,$327.00,6622,7256,8,91.3%,-6.3%,A Gentleman S Guide To Love And Murder
9,1/17/16,3,"$677,178","$93,111","$958,928",70.62%,$94.30,$327.00,7181,7256,8,99.0%,7.7%,A Gentleman S Guide To Love And Murder
7,1/02/94,1,"$65,319","$27,736",$0,,$0.00,$0.00,3465,0,8,0.0%,0.0%,A Grand Night For Singing
7,9/26/10,39,"$344,287","$344,287","$994,752",34.61%,$59.27,$250.00,5809,8568,8,67.8%,0.0%,A Life In The Theatre
8,10/03/10,40,"$310,430","$-33,857","$994,752",31.21%,$51.29,$250.00,6053,8568,8,70.6%,70.6%,A Life In The Theatre
9,10/10/10,41,"$330,544","$20,114","$994,752",33.23%,$50.18,$250.00,6587,8568,8,76.9%,6.3%,A Life In The Theatre
10,10/17/10,42,"$268,568","$-61,976","$994,752",27.00%,$47.80,$250.00,5619,8568,8,65.6%,-11.3%,A Life In The Theatre
11,10/24/10,43,"$255,749","$-12,819","$994,752",25.71%,$64.13,$250.00,3988,8568,8,46.5%,-19.1%,A Life In The Theatre
12,10/31/10,44,"$218,150","$-37,599","$994,752",21.93%,$64.73,$250.00,3370,8568,8,39.3%,-7.2%,A Life In The Theatre
13,11/07/10,45,"$187,480","$-30,670","$951,840",19.70%,$66.29,$250.00,2828,8568,8,33.0%,-6.3%,A Life In The Theatre
14,11/14/10,46,"$206,017","$18,537","$951,840",21.64%,$64.70,$250.00,3184,8568,8,37.2%,4.2%,A Life In The Theatre
15,11/21/10,47,"$213,364","$7,347","$951,840",22.42%,$55.22,$250.00,3864,8568,8,45.1%,7.9%,A Life In The Theatre
16,11/28/10,48,"$249,156","$35,792","$951,840",26.18%,$55.76,$250.00,4468,8568,8,52.1%,7.0%,A Life In The Theatre
7,1/19/92,3,"$157,130","$157,130",$0,,$0.00,$0.00,6452,0,8,0.0%,0.0%,A Little Hotel On The Side
8,1/26/92,4,"$158,395","$1,265",$0,,$0.00,$0.00,6865,0,8,0.0%,0.0%,A Little Hotel On The Side
9,2/02/92,5,"$183,168","$24,773",$0,,$0.00,$0.00,7798,0,8,0.0%,0.0%,A Little Hotel On The Side
10,2/09/92,6,"$170,109","$-13,059",$0,,$0.00,$0.00,7209,0,8,0.0%,0.0%,A Little Hotel On The Side
11,2/16/92,7,"$172,486","$2,377",$0,,$0.00,$0.00,6857,0,8,0.0%,0.0%,A Little Hotel On The Side
12,2/23/92,8,"$173,879","$1,393",$0,,$0.00,$0.00,7053,0,8,0.0%,0.0%,A Little Hotel On The Side
13,3/01/92,9,"$163,295","$-10,584",$0,,$0.00,$0.00,6575,0,8,0.0%,0.0%,A Little Hotel On The Side
7,10/19/86,42,"$20,000","$20,000",$0,,$0.00,$0.00,2000,0,4,0.0%,0.0%,A Little Like Magic
8,10/26/86,43,"$35,000","$15,000",$0,,$0.00,$0.00,2000,0,8,0.0%,0.0%,A Little Like Magic
9,11/02/86,44,"$35,000",$0,$0,,$0.00,$0.00,2500,0,8,0.0%,0.0%,A Little Like Magic
10,11/09/86,45,"$35,000",$0,$0,,$0.00,$0.00,2500,0,8,0.0%,0.0%,A Little Like Magic
11,11/16/86,46,"$35,000",$0,$0,,$0.00,$0.00,3000,0,8,0.0%,0.0%,A Little Like Magic
12,11/23/86,47,"$35,000",$0,$0,,$0.00,$0.00,3000,0,8,0.0%,0.0%,A Little Like Magic
13,11/30/86,48,"$35,000",$0,$0,,$0.00,$0.00,3000,0,8,0.0%,0.0%,A Little Like Magic
14,12/07/86,49,"$35,000",$0,$0,,$0.00,$0.00,3000,0,8,0.0%,0.0%,A Little Like Magic
7,3/20/94,12,"$42,000","$42,000","$127,793",32.87%,$0.00,$40.00,1999,6060,6,33.0%,0.0%,A Little More Magic
8,3/27/94,13,"$58,000","$16,000","$127,793",45.39%,$0.00,$40.00,2665,8080,8,33.0%,33.0%,A Little More Magic
9,4/03/94,14,"$60,000","$2,000","$127,793",46.95%,$0.00,$40.00,3232,8080,8,40.0%,7.0%,A Little More Magic
7,1/02/11,1,"$627,556","$174,772","$877,710",71.50%,$94.48,$297.00,6642,7448,8,89.2%,19.6%,A Little Night Music
8,1/09/11,2,"$737,852","$110,296","$877,710",84.07%,$100.18,$297.00,7365,7448,8,98.9%,9.7%,A Little Night Music
7,9/14/08,37,"$141,040","$141,040","$336,819",41.87%,$50.30,$111.50,2804,3700,5,75.8%,0.0%,A Man For All Seasons
8,9/21/08,38,"$259,116","$118,076","$540,391",47.95%,$53.98,$111.50,4800,5920,8,81.1%,81.1%,A Man For All Seasons
9,9/28/08,39,"$273,002","$13,886","$540,391",50.52%,$54.21,$111.50,5036,5920,8,85.1%,4.0%,A Man For All Seasons
10,10/05/08,40,"$271,879","$-1,123","$540,391",50.31%,$54.58,$111.50,4981,5920,8,84.1%,-1.0%,A Man For All Seasons
11,10/12/08,41,"$259,591","$-12,288","$540,391",48.04%,$57.32,$111.50,4529,5920,8,76.5%,-7.6%,A Man For All Seasons
12,10/19/08,42,"$217,909","$-41,682","$405,293",53.77%,$58.77,$111.50,3708,4440,6,83.5%,7.0%,A Man For All Seasons
13,10/26/08,43,"$291,182","$73,273","$540,391",53.88%,$56.39,$111.50,5164,5920,8,87.2%,3.7%,A Man For All Seasons
14,11/02/08,44,"$245,898","$-45,284","$538,857",45.63%,$53.97,$111.50,4556,5904,8,77.2%,-10.0%,A Man For All Seasons
15,11/09/08,45,"$288,148","$42,250","$538,857",53.47%,$55.39,$111.50,5202,5904,8,88.1%,10.9%,A Man For All Seasons
16,11/16/08,46,"$223,099","$-65,049","$405,293",55.05%,$55.79,$111.50,3999,4428,6,90.3%,2.2%,A Man For All Seasons
17,11/23/08,47,"$251,202","$28,103","$471,292",53.30%,$54.49,$111.50,4610,5166,7,89.2%,-1.1%,A Man For All Seasons
18,11/30/08,48,"$259,823","$8,621","$471,292",55.13%,$58.49,$111.50,4442,5166,7,86.0%,-3.2%,A Man For All Seasons
19,12/07/08,49,"$332,578","$72,755","$540,391",61.54%,$59.17,$111.50,5621,5920,8,94.9%,8.9%,A Man For All Seasons
20,12/14/08,50,"$297,729","$-34,849","$472,842",62.97%,$59.80,$111.50,4979,5180,7,96.1%,1.2%,A Man For All Seasons
7,3/24/96,12,"$252,870","$252,870","$593,349",42.62%,$38.03,$65.00,6649,8688,6,76.5%,0.0%,A Midsummer Night S Dream
8,3/31/96,13,"$239,596","$-13,274","$593,349",40.38%,$30.68,$65.00,7810,11584,8,67.4%,67.4%,A Midsummer Night S Dream
9,4/07/96,14,"$287,747","$48,151","$593,349",48.50%,$42.24,$65.00,6813,11584,8,58.8%,-8.6%,A Midsummer Night S Dream
10,4/14/96,15,"$346,094","$58,347","$593,349",58.33%,$46.79,$65.00,7396,11584,8,63.8%,5.0%,A Midsummer Night S Dream
11,4/21/96,16,"$309,387","$-36,707","$593,349",52.14%,$47.63,$65.00,6496,11584,8,56.1%,-7.7%,A Midsummer Night S Dream
12,4/28/96,17,"$276,763","$-32,624","$593,349",46.64%,$46.62,$65.00,5936,11584,8,51.2%,-4.9%,A Midsummer Night S Dream
13,5/05/96,18,"$239,147","$-37,616","$593,349",40.30%,$40.60,$65.00,5891,11584,8,50.9%,-0.3%,A Midsummer Night S Dream
14,5/12/96,19,"$255,054","$15,907","$593,349",42.99%,$38.60,$65.00,6608,11584,8,57.0%,6.1%,A Midsummer Night S Dream
15,5/19/96,20,"$254,566",$-488,"$593,349",42.90%,$39.63,$65.00,6424,11584,8,55.5%,-1.5%,A Midsummer Night S Dream
16,5/26/96,21,"$270,030","$15,464","$593,349",45.51%,$34.59,$65.00,7807,11584,8,67.4%,11.9%,A Midsummer Night S Dream
7,10/25/98,43,"$1,648","$1,648","$31,671",5.20%,$21.97,$40.00,75,1004,1,7.5%,0.0%,A Mom S Life
8,11/01/98,44,"$3,822","$2,174","$31,671",12.07%,$28.52,$40.00,134,1004,1,13.3%,13.3%,A Mom S Life
9,11/08/98,45,"$6,153","$2,331","$31,671",19.43%,$26.18,$40.00,235,1004,1,23.4%,10.1%,A Mom S Life
7,4/09/95,15,"$133,766","$133,766",$0,,$0.00,$0.00,3916,0,8,0.0%,0.0%,A Month In The Country
8,4/16/95,16,"$134,397",$631,$0,,$0.00,$0.00,3874,0,8,0.0%,0.0%,A Month In The Country
9,4/23/95,17,"$126,258","$-8,139",$0,,$0.00,$0.00,3586,0,8,0.0%,0.0%,A Month In The Country
10,4/30/95,18,"$129,035","$2,777",$0,,$0.00,$0.00,3752,0,8,0.0%,0.0%,A Month In The Country
11,5/07/95,19,"$138,297","$9,262",$0,,$0.00,$0.00,3957,0,8,0.0%,0.0%,A Month In The Country
12,5/14/95,20,"$133,626","$-4,671",$0,,$0.00,$0.00,3824,0,8,0.0%,0.0%,A Month In The Country
13,5/21/95,21,"$141,259","$7,633",$0,,$0.00,$0.00,3989,0,8,0.0%,0.0%,A Month In The Country
14,5/28/95,22,"$149,739","$8,480",$0,,$0.00,$0.00,3990,0,8,0.0%,0.0%,A Month In The Country
15,6/04/95,23,"$156,955","$7,216","$199,600",78.63%,$0.00,$55.00,3992,3992,8,100.0%,100.0%,A Month In The Country
16,6/11/95,24,"$164,039","$7,084","$199,600",82.18%,$0.00,$55.00,3489,3493,7,99.9%,-0.1%,A Month In The Country
7,4/05/87,14,"$35,612","$35,612",$0,,$0.00,$0.00,2690,0,7,0.0%,0.0%,A Month Of Sundays
8,4/12/87,15,"$45,645","$10,033",$0,,$0.00,$0.00,2701,0,8,0.0%,0.0%,A Month Of Sundays
9,4/19/87,16,"$51,164","$5,519",$0,,$0.00,$0.00,2471,0,8,0.0%,0.0%,A Month Of Sundays
7,4/01/07,13,"$400,224","$400,224","$433,545",92.31%,$88.94,$251.50,4500,5165,5,87.1%,0.0%,A Moon For The Misbegotten
8,4/08/07,14,"$577,296","$177,072","$707,182",81.63%,$72.05,$251.50,8012,8272,8,96.9%,96.9%,A Moon For The Misbegotten
9,4/15/07,15,"$572,013","$-5,283","$707,182",80.89%,$71.83,$251.50,7963,8272,8,96.3%,-0.6%,A Moon For The Misbegotten
10,4/22/07,16,"$524,353","$-47,660","$618,784",84.74%,$77.41,$251.50,6774,7238,7,93.6%,-2.7%,A Moon For The Misbegotten
11,4/29/07,17,"$609,148","$84,795","$707,182",86.14%,$82.60,$251.50,7375,8272,8,89.2%,-4.4%,A Moon For The Misbegotten
12,5/06/07,18,"$532,707","$-76,441","$707,182",75.33%,$78.29,$251.50,6804,8272,8,82.3%,-6.9%,A Moon For The Misbegotten
13,5/13/07,19,"$549,417","$16,710","$707,182",77.69%,$74.68,$251.50,7357,8272,8,88.9%,6.6%,A Moon For The Misbegotten
14,5/20/07,20,"$578,961","$29,544","$707,182",81.87%,$73.70,$251.50,7856,8272,8,95.0%,6.1%,A Moon For The Misbegotten
15,5/27/07,21,"$516,113","$-62,848","$707,182",72.98%,$70.47,$251.50,7324,8272,8,88.5%,-6.5%,A Moon For The Misbegotten
16,6/03/07,22,"$483,420","$-32,693","$707,182",68.36%,$70.28,$251.50,6878,8272,8,83.1%,-5.4%,A Moon For The Misbegotten
17,6/10/07,23,"$568,936","$85,516","$707,182",80.45%,$70.91,$251.50,8023,8272,8,97.0%,13.9%,A Moon For The Misbegotten
7,3/12/00,11,"$213,910","$213,910","$444,168",48.16%,$39.58,$70.00,5405,7488,8,72.2%,0.0%,A Moon For The Misbegotten 2000
8,3/19/00,12,"$225,309","$11,399","$444,168",50.73%,$45.54,$70.00,4947,7488,8,66.1%,66.1%,A Moon For The Misbegotten 2000
9,3/26/00,13,"$301,856","$76,547","$444,168",67.96%,$49.26,$70.00,6128,7488,8,81.8%,15.7%,A Moon For The Misbegotten 2000
10,4/02/00,14,"$318,418","$16,562","$444,168",71.69%,$46.26,$70.00,6883,7488,8,91.9%,10.1%,A Moon For The Misbegotten 2000
11,4/09/00,15,"$349,619","$31,201","$444,168",78.71%,$56.04,$70.00,6239,7488,8,83.3%,-8.6%,A Moon For The Misbegotten 2000
12,4/16/00,16,"$341,308","$-8,311","$444,168",76.84%,$56.22,$70.00,6071,7488,8,81.1%,-2.2%,A Moon For The Misbegotten 2000
13,4/23/00,17,"$302,392","$-38,916","$444,168",68.08%,$56.20,$70.00,5381,6552,7,82.1%,1.0%,A Moon For The Misbegotten 2000
14,4/30/00,18,"$363,708","$61,316","$444,168",81.89%,$56.13,$70.00,6480,7488,8,86.5%,4.4%,A Moon For The Misbegotten 2000
15,5/07/00,19,"$333,156","$-30,552","$444,168",75.01%,$56.18,$70.00,5930,7488,8,79.2%,-7.3%,A Moon For The Misbegotten 2000
16,5/14/00,20,"$317,378","$-15,778","$444,168",71.45%,$56.19,$70.00,5648,7488,8,75.4%,-3.8%,A Moon For The Misbegotten 2000
17,5/21/00,21,"$349,612","$32,234","$444,168",78.71%,$56.04,$70.00,6239,7488,8,83.3%,7.9%,A Moon For The Misbegotten 2000
18,5/28/00,22,"$338,881","$-10,731","$444,168",76.30%,$55.95,$70.00,6057,7488,8,80.9%,-2.4%,A Moon For The Misbegotten 2000
19,6/04/00,23,"$300,610","$-38,271","$444,168",67.68%,$54.27,$70.00,5539,7488,8,74.0%,-6.9%,A Moon For The Misbegotten 2000
20,6/11/00,24,"$320,410","$19,800","$444,168",72.14%,$55.63,$70.00,5760,7488,8,76.9%,2.9%,A Moon For The Misbegotten 2000
21,6/18/00,25,"$331,094","$10,684","$444,168",74.54%,$52.62,$70.00,6292,7488,8,84.0%,7.1%,A Moon For The Misbegotten 2000
22,6/25/00,26,"$304,430","$-26,664","$444,168",68.54%,$47.21,$70.00,6448,7488,8,86.1%,2.1%,A Moon For The Misbegotten 2000
23,7/02/00,27,"$342,088","$37,658","$444,168",77.02%,$48.04,$70.00,7121,7488,8,95.1%,9.0%,A Moon For The Misbegotten 2000
7,9/18/05,38,"$237,903","$237,903","$356,124",66.80%,$50.34,$81.25,4726,5920,8,79.8%,0.0%,A Naked Girl On The Appian Way
8,9/25/05,39,"$259,604","$21,701","$356,124",72.90%,$52.92,$81.25,4906,5920,8,82.9%,82.9%,A Naked Girl On The Appian Way
9,10/02/05,40,"$266,137","$6,533","$356,124",74.73%,$52.86,$81.25,5035,5920,8,85.1%,2.2%,A Naked Girl On The Appian Way
10,10/09/05,41,"$237,241","$-28,896","$356,124",66.62%,$52.87,$81.25,4487,5920,8,75.8%,-9.3%,A Naked Girl On The Appian Way
11,10/16/05,42,"$252,554","$15,313","$356,124",70.92%,$53.80,$81.25,4694,5920,8,79.3%,3.5%,A Naked Girl On The Appian Way
12,10/23/05,43,"$267,179","$14,625","$356,124",75.02%,$53.40,$81.25,5003,5920,8,84.5%,5.2%,A Naked Girl On The Appian Way
13,10/30/05,44,"$268,918","$1,739","$356,124",75.51%,$53.15,$81.25,5060,5920,8,85.5%,1.0%,A Naked Girl On The Appian Way
14,11/06/05,45,"$257,638","$-11,280","$356,124",72.35%,$52.21,$81.25,4935,5920,8,83.4%,-2.1%,A Naked Girl On The Appian Way
15,11/13/05,46,"$266,981","$9,343","$356,124",74.97%,$54.21,$81.25,4925,5920,8,83.2%,-0.2%,A Naked Girl On The Appian Way
16,11/21/05,47,"$257,060","$-9,921","$356,124",72.18%,$52.71,$81.25,4877,5920,8,82.4%,-0.8%,A Naked Girl On The Appian Way
17,11/27/05,48,"$235,981","$-21,079","$356,124",66.26%,$54.63,$81.25,4320,5920,8,73.0%,-9.4%,A Naked Girl On The Appian Way
18,12/04/05,49,"$275,345","$39,364","$356,124",77.32%,$54.81,$81.25,5024,5920,8,84.9%,11.9%,A Naked Girl On The Appian Way
7,1/05/14,1,"$369,944","$-74,413","$701,808",52.71%,$88.57,$197.00,4177,6720,8,62.2%,-11.4%,A Night With Janis Joplin
8,1/12/14,2,"$331,705","$-38,239","$699,148",47.44%,$80.63,$197.00,4114,6720,8,61.2%,-1.0%,A Night With Janis Joplin
9,1/19/14,3,"$339,451","$7,746","$701,808",48.37%,$73.11,$197.00,4643,6720,8,69.1%,7.9%,A Night With Janis Joplin
10,1/26/14,4,"$314,542","$-24,909","$701,808",44.82%,$74.15,$197.00,4242,6720,8,63.1%,-6.0%,A Night With Janis Joplin
11,2/02/14,5,"$231,225","$-83,317","$701,808",32.95%,$71.06,$197.00,3254,6720,8,48.4%,-14.7%,A Night With Janis Joplin
12,2/09/14,6,"$342,185","$110,960","$614,082",55.72%,$78.63,$197.00,4352,5880,7,74.0%,25.6%,A Night With Janis Joplin
7,3/09/14,10,"$151,179","$151,179","$129,748",116.52%,$144.53,$348.00,1046,1046,1,100.0%,0.0%,A Raisin In The Sun
8,3/16/14,11,"$981,488","$830,309","$885,092",110.89%,$134.05,$348.00,7322,7322,7,100.0%,100.0%,A Raisin In The Sun
9,3/23/14,12,"$1,107,163","$125,675","$1,014,840",109.10%,$132.31,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
10,3/30/14,13,"$1,045,534","$-61,629","$1,014,840",103.02%,$124.94,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
11,4/06/14,14,"$929,151","$-116,383","$1,014,840",91.56%,$111.04,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
12,4/13/14,15,"$1,182,511","$253,360","$1,014,840",116.52%,$141.31,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
13,4/20/14,16,"$1,212,665","$30,154","$1,014,840",119.49%,$144.92,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
14,4/27/14,17,"$1,183,783","$-28,882","$1,014,840",116.65%,$141.47,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
15,5/04/14,18,"$1,190,876","$7,093","$1,093,160",108.94%,$142.31,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
16,5/11/14,19,"$1,184,774","$-6,102","$1,093,160",108.38%,$141.58,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
17,5/18/14,20,"$1,183,010","$-1,764","$1,093,160",108.22%,$141.37,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
18,5/25/14,21,"$1,198,950","$15,940","$1,093,160",109.68%,$143.28,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
19,6/01/14,22,"$1,185,576","$-13,374","$1,093,160",108.45%,$141.68,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
20,6/08/14,23,"$1,226,464","$40,888","$1,093,160",112.19%,$146.57,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
21,6/15/14,24,"$1,290,437","$63,973","$1,093,160",118.05%,$154.21,$348.00,8368,8368,8,100.0%,0.0%,A Raisin In The Sun
7,4/05/92,14,"$118,935","$118,935",$0,,$0.00,$0.00,6379,0,8,0.0%,0.0%,A Small Family Business
8,4/12/92,15,"$122,214","$3,279",$0,,$0.00,$0.00,6212,0,7,0.0%,0.0%,A Small Family Business
9,4/19/92,16,"$112,713","$-9,501",$0,,$0.00,$0.00,5881,0,8,0.0%,0.0%,A Small Family Business
10,4/26/92,17,"$91,971","$-20,742",$0,,$0.00,$0.00,4856,0,7,0.0%,0.0%,A Small Family Business
11,5/03/92,18,"$91,326",$-645,$0,,$0.00,$0.00,3888,0,8,0.0%,0.0%,A Small Family Business
12,5/10/92,19,"$99,640","$8,314",$0,,$0.00,$0.00,3837,0,8,0.0%,0.0%,A Small Family Business
13,5/17/92,20,"$115,822","$16,182",$0,,$0.00,$0.00,4557,0,8,0.0%,0.0%,A Small Family Business
14,5/24/92,21,"$101,145","$-14,677",$0,,$0.00,$0.00,3838,0,8,0.0%,0.0%,A Small Family Business
15,5/31/92,22,"$79,217","$-21,928",$0,,$0.00,$0.00,3180,0,8,0.0%,0.0%,A Small Family Business
16,6/07/92,23,"$93,904","$14,687",$0,,$0.00,$0.00,4214,0,8,0.0%,0.0%,A Small Family Business
7,9/13/09,37,"$767,663","$767,663","$636,970",120.52%,$143.35,$375.00,5355,5355,5,100.0%,0.0%,A Steady Rain
8,9/20/09,38,"$1,167,954","$400,291","$1,012,726",115.33%,$136.28,$375.00,8570,8568,8,100.0%,100.0%,A Steady Rain
9,9/27/09,39,"$1,153,779","$-14,175","$1,012,726",113.93%,$134.55,$375.00,8575,8568,8,100.1%,0.1%,A Steady Rain
10,10/04/09,40,"$1,096,463","$-57,316","$1,012,726",108.27%,$126.52,$375.00,8666,8568,8,101.1%,1.0%,A Steady Rain
11,10/11/09,41,"$1,276,106","$179,643","$1,012,726",126.01%,$146.93,$375.00,8685,8568,8,101.4%,0.3%,A Steady Rain
12,10/18/09,42,"$1,239,283","$-36,823","$1,012,726",122.37%,$142.91,$375.00,8672,8568,8,101.2%,-0.2%,A Steady Rain
13,10/25/09,43,"$1,213,983","$-25,300","$1,012,726",119.87%,$139.92,$375.00,8676,8568,8,101.3%,0.1%,A Steady Rain
14,11/01/09,44,"$1,187,455","$-26,528","$1,012,726",117.25%,$137.01,$375.00,8667,8568,8,101.2%,-0.1%,A Steady Rain
15,11/08/09,45,"$1,201,252","$13,797","$1,012,726",118.62%,$138.66,$375.00,8663,8568,8,101.1%,-0.1%,A Steady Rain
16,11/15/09,46,"$1,202,161",$909,"$1,012,726",118.71%,$138.74,$375.00,8665,8568,8,101.1%,0.0%,A Steady Rain
17,11/22/09,47,"$1,170,859","$-31,302","$1,012,726",115.61%,$135.44,$375.00,8645,8568,8,100.9%,-0.2%,A Steady Rain
18,11/29/09,48,"$1,199,574","$28,715","$1,095,256",109.52%,$138.42,$375.00,8666,8568,8,101.1%,0.2%,A Steady Rain
19,12/06/09,49,"$1,292,210","$92,636","$1,018,081",126.93%,$149.04,$375.00,8670,8568,8,101.2%,0.1%,A Steady Rain
7,4/08/12,15,"$309,488","$309,488","$1,015,867",30.47%,$47.11,$197.50,6569,9344,8,70.3%,0.0%,A Streetcar Named Desire
8,4/15/12,16,"$328,001","$18,513","$1,015,867",32.29%,$51.38,$197.50,6384,9344,8,68.3%,68.3%,A Streetcar Named Desire
9,4/22/12,17,"$311,556","$-16,445","$1,015,867",30.67%,$41.88,$197.50,7439,9344,8,79.6%,11.3%,A Streetcar Named Desire
10,4/29/12,18,"$363,842","$52,286","$1,015,867",35.82%,$62.84,$197.50,5790,9344,8,62.0%,-17.6%,A Streetcar Named Desire
11,5/06/12,19,"$359,182","$-4,660","$1,015,867",35.36%,$62.27,$197.50,5768,9344,8,61.7%,-0.3%,A Streetcar Named Desire
12,5/13/12,20,"$446,069","$86,887","$1,015,867",43.91%,$64.79,$197.50,6885,9344,8,73.7%,12.0%,A Streetcar Named Desire
13,5/20/12,21,"$433,648","$-12,421","$1,015,867",42.69%,$66.26,$197.50,6545,9344,8,70.0%,-3.7%,A Streetcar Named Desire
14,5/27/12,22,"$418,337","$-15,311","$1,015,867",41.18%,$67.32,$197.50,6214,9344,8,66.5%,-3.5%,A Streetcar Named Desire
15,6/03/12,23,"$299,657","$-118,680","$1,015,867",29.50%,$61.15,$197.50,4900,9344,8,52.4%,-14.1%,A Streetcar Named Desire
16,6/10/12,24,"$299,235",$-422,"$1,015,867",29.46%,$62.86,$197.50,4760,9344,8,50.9%,-1.5%,A Streetcar Named Desire
17,6/17/12,25,"$324,585","$25,350","$1,015,867",31.95%,$64.68,$197.50,5018,9344,8,53.7%,2.8%,A Streetcar Named Desire
18,6/24/12,26,"$334,210","$9,625","$1,015,867",32.90%,$66.51,$197.50,5025,9344,8,53.8%,0.1%,A Streetcar Named Desire
19,7/01/12,27,"$349,304","$15,094","$1,015,867",34.38%,$66.70,$197.50,5237,9344,8,56.0%,2.2%,A Streetcar Named Desire
